,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,為替レート,,自動,,自動,,,,,,
,仕入れ表,仕入れ元データ,仕入れ表,,ペイメント,仕入れ表,仕入れ表,,,ペイメント,手動,,,,,売れた日の為替,,,仕入れ元データ,,,,,,手動,
同梱,カスタムラベル(SKU),Order number,仕入れ日,販売日,出金日,商品名,仕入れ金額(送料込み),販売金額,販売金額（￥）,手数料合計,広告費(PL),shopee手数料,サービス料,取引手数料,Payout金額,販売時の為替,出金時の為替（ペイオニア手数料含む）,受取金額,海外送料,手数料消費税還付,消費税還付,最終損益,利益率,売れるまでの日数,(国内)送り状番号,(SLS)送り状番号
,20260316_miyawaki_ph_02,260330FRMDKXKY,2026/3/30,2026/3/30,#N/A,Ichiban Kuji YuYu Hakusho Dark Tournament vol.3 Urameshi Yusuke MASTERLIZED Prize A Figure,"¥2,850 ","₱2,733.00","¥7,215",#N/A,$0.00,#N/A,#N/A,#N/A,#N/A,2.64,#N/A,#N/A,₱331.00,#N/A,¥259,#N/A,#N/A,5,2790-9566-4293,
,20260316_machida_ph_03,260330G026X4X1,2026/3/30,2026/3/30,#N/A,Bandai (Bandai) RG 1/144 GUNDAM SIDE-F Limited RX-93FF ν Gundam Mobile Suit Gundam Counterattack Char,"¥7,255 ","₱3,987.00","¥10,526",#N/A,$0.00,#N/A,#N/A,#N/A,#N/A,2.64,#N/A,#N/A,有在庫へ,#N/A,¥660,#N/A,#N/A,32,,
,20260312_machida_ph_04,260330GCGKNUWQ,,2026/3/30,#N/A, MG 1/100 Gundam Base Limited Prize RX-78-2 Gundam Ver.3.0 [Gold Coating] Mobile Suit Gundam,仕入れ無,"₱3,064.00","¥8,089",#N/A,$0.00,#N/A,#N/A,#N/A,#N/A,2.64,#N/A,#N/A,,#N/A,#VALUE!,#N/A,#N/A,14,,
,20260312_machida_ph_04,260330GCHXJU83,2026/3/31,2026/3/30,#N/A,MG 1/100 Gundam Base Limited Prize RX-78-2 Gundam Ver.3.0 [Gold Coating] Mobile Suit Gundam,"¥6,480 ","₱3,064.00","¥8,089",#N/A,$0.00,#N/A,#N/A,#N/A,#N/A,2.64,#N/A,#N/A,₱581.00,#N/A,¥589,#N/A,#N/A,28,2790-9501-4461,PH265310873835P
,20260325_machida_ph_01_2,260330GH0SJWWC,2026/3/31,2026/3/30,#N/A,Tamiya 1/12 Electric RC Car Series No. 347 Lunch Box 2005 58347 - High-Performance Remote Control Car[Direct from Japan],"¥7,920 ","₱5,610.00","¥14,810",#N/A,$0.00,#N/A,#N/A,#N/A,#N/A,2.64,#N/A,#N/A,"₱1,531.00",#N/A,¥720,#N/A,#N/A,14,2790-9501-4365,PH267032258170G
,20260316_ishida_ph_01,260330GQ0Q6CW0,,2026/3/30,#N/A,Nendoroid Character Vocal Series 03 Megurine Luka Megurine Luka 2.0 Non-Scale Plastic Painted Action Figure,仕入れ無,"₱2,991.00","¥7,896",#N/A,$0.00,#N/A,#N/A,#N/A,#N/A,2.64,#N/A,#N/A,,#N/A,#VALUE!,#N/A,#N/A,32,,
,20260226_machida_ph_03,260331H4EMX4C2,2026/3/31,2026/3/31,#N/A,Authentic BANDAI SPIRITS RG 1/144 Unicorn Gundam Perfectibility Plastic Model Bandai,"¥10,880 ","₱5,413.00","¥14,236",#N/A,$0.00,#N/A,#N/A,#N/A,#N/A,2.63,#N/A,#N/A,₱606.00,#N/A,¥989,#N/A,#N/A,7,2790-9501-4531,PH264331112089S
,20260316_miyawaki_ph_01,260331HDB9GAG9,,2026/3/31,#N/A,Ichiban Kuji Demon Slayer Doma Prize B Figur,仕入れ無,"₱4,820.00","¥12,677",#N/A,$0.00,#N/A,#N/A,#N/A,#N/A,2.63,#N/A,#N/A,,#N/A,#VALUE!,#N/A,#N/A,13,,
,20260302_ishida_ph_02_2,260331J14TP6JR,2026/3/31,2026/3/31,#N/A,S.H.Figuarts Funeral of Freiren Freiren (Resale Version) Approximately 140mm PVC & ABS Painted Movable Figure TAMASHII NATIONS,"¥7,980 ","₱3,923.00","¥10,317",#N/A,$0.00,#N/A,#N/A,#N/A,#N/A,2.63,#N/A,#N/A,₱156.00,#N/A,¥725,#N/A,#N/A,25,2790-9501-4236,PH262857620650H
,20260316_miyawaki_ph_01,260331JC12CG04,2026/3/31,2026/3/31,#N/A,Ichiban Kuji Demon Slayer Doma Prize B Figure,"¥8,222 ","₱4,720.00","¥12,414",#N/A,$0.00,#N/A,#N/A,#N/A,#N/A,2.63,#N/A,#N/A,₱581.00,#N/A,¥747,#N/A,#N/A,29,2790-9566-4396,
