,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
自動,,,,,手動,自動,手動,手動,手動,手動,手動,自動,shopee,自動
SKU,Order no.,仕入れ日,仕入れ先,仕入れ金額（送料込）,品目,商品名,付属品,状態,備考,写真,出品日,販売日,販売先,販売金額
20260319_machida_ph_03,2605127KAKGER3,2026/5/12,Amazon,"¥29,733 ",ラジコン,Tamiya 1/10 Electric RC Car Series No.719 BBX BB-01 Chassis 58719,,新品,,Amazon Photos,2026/03/19,2026/5/12,shopee,"₱15,933.00"
20260420_mizushima_ph_07_2,2605128E1R82M3,,,,,[Gundam Base/Event Exclusive] MG 1/100 Sazabi Ver.Ka Mechanical Clear Model Kit from Mobile Suit Gundam: Char's Counterattack (Bandai Spirits),,新品,,Amazon Photos,,2026/5/12,shopee,"₱7,689.00"
20260410_miyawaki_ph_01_10,2605128MGA5P96,2026/5/13,メルカリ,"¥6,900 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,,新品,,Amazon Photos,2026/04/10,2026/5/12,shopee,"₱4,988.00"
20260428_miyawaki_ph_01_4,2605128MGA5P96,2026/5/13,メルカリ,"¥9,888 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Kazuma Kuwabara MASTERLIZE Prize B Figure,,新品,,Amazon Photos,2026/04/28,2026/5/12,shopee,"₱6,433.00"
20260415_miyawaki_ph_03_10,2605139523N01V,2026/5/13,yahooフリマ,"¥6,000 ",フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,,新品,,Amazon Photos,2026/04/15,2026/5/13,shopee,"₱4,732.00"
20260421_miyawaki_ph_01,2605139XY12D3D,2026/5/13,yahooショッピング,"¥23,484 ",フィギュア,"MIC DiGiSM One and Only ""SLAM DUNK"" SHOHOKU STARTING MEMBER SET",,新品,,Amazon Photos,2026/04/21,2026/5/13,shopee,"₱14,233.00"
20260407_miyawaki_ph_03,260513AEYJD6QP,2026/5/14,Amazon,"¥5,900 ",フィギュア,Good Smile Arts Shanghai POP UP PARADE K-ON! Nakano Azusa L size Figure,,新品,,Amazon Photos,2026/04/07,2026/5/13,shopee,"₱3,539.00"
20260410_miyawaki_ph_01_11,260513AMKPE2NM,2026/5/14,メルカリ,"¥6,999 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,,新品,,Amazon Photos,2026/04/10,2026/5/13,shopee,"₱4,988.00"
20260430_machida_ph_03_2,260513ARTKPRFS,2026/5/14,Amazon,"¥9,900 ",ホビー,[Direct From Japan] Barbie Basic You Create Kit 2 YOU CREATE BARBIE BASICS™ Neutral Kit 002 Signature BLACK Dress-up dolls & houses Pretend play Barbie dolls Ages 6+ JJX36,,新品,,Amazon Photos,2026/04/30,2026/5/13,shopee,"₱4,312.00"
20260430_machida_ph_04_2,260513AU0F3UR9,2026/5/14,Amazon,"¥9,900 ",ホビー,[Direct From Japan] Barbie Basic You Create Kit 3 YOU CREATE BARBIE BASICS™ Neutral Kit 003 Signature BLACK Dress-up dolls & houses Pretend play Barbie dolls Ages 6+ JJX37,,新品,,Amazon Photos,2026/04/30,2026/5/13,shopee,"₱4,317.00"
20260420_mizushima_ph_07_2,260513B0F8BSU0,,,仕入れ無,,[Gundam Base/Event Exclusive] MG 1/100 Sazabi Ver.Ka Mechanical Clear Model Kit from Mobile Suit Gundam: Char's Counterattack (Bandai Spirits),,新品,,Amazon Photos,,2026/5/13,shopee,"₱7,689.00"
20260417_miyawaki_ph_04_6,260514BJ75K36D,2026/5/14,yahooフリマ,"¥11,100 ",フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,,新品,,Amazon Photos,2026/04/17,2026/5/14,shopee,"₱8,569.00"
20260415_miyawaki_ph_03_11,260514BJ75K36D,2026/5/14,yahooフリマ,"¥6,150 ",フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,,新品,,Amazon Photos,2026/04/15,2026/5/14,shopee,"₱4,732.00"
20260428_miyawaki_ph_01_5,260514BKBUKB4T,,,仕入れ無,,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Kazuma Kuwabara MASTERLIZE Prize B Figure,,新品,,Amazon Photos,,2026/5/14,shopee,"₱6,433.00"
20260429_miyawaki_ph_01,260514BKE077UE,2026/5/14,メルカリ,"¥4,799 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Prize D: Koenma MASTERLISE Figure,,新品,,Amazon Photos,2026/04/29,2026/5/14,shopee,"₱3,917.00"
20260428_miyawaki_ph_01_5,260514BKE077UE,2026/5/14,メルカリ,"¥9,999 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Kazuma Kuwabara MASTERLIZE Prize B Figure,,新品,,Amazon Photos,2026/04/28,2026/5/14,shopee,"₱6,433.00"
20260429_miyawaki_ph_02,260514BKE077UE,2026/5/14,メルカリ,"¥4,799 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Prize E Genkai MASTERLISE EMOVING Figure,,新品,,Amazon Photos,2026/04/29,2026/5/14,shopee,"₱3,759.00"
20260420_mizushima_ph_09_2,260514C596ASVK,2026/5/14,Amazon,"¥10,300 ",プラモデル,[Gundam Base / Event Exclusive] MG 1/100 Wing Gundam Zero EW [CROSS CONTRAST COLORS / CLEAR PURPLE] Plastic Model Kit (Bandai Spirits),,新品,,Amazon Photos,2026/04/20,2026/5/14,shopee,"₱6,209.00"
20260415_miyawaki_ph_02,260514CGAQTJNF,2026/5/14,Amazon,"¥7,366 ",フィギュア,Final Fantasy VII Remake Adorable Arts <Aerith Gainsborough> Figure,,新品,,Amazon Photos,2026/04/15,2026/5/14,shopee,"₱4,104.00"
20260413_machida_ph_04,260514D50BDFUY,2026/5/15,Joshin,"¥37,000 ",ラジコン,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 415 RCC Toyota Tundra High Lift Off-Road 58415,,新品,,Amazon Photos,2026/04/13,2026/5/14,shopee,"₱19,949.00"
20260318_machida_ph_04,260514D587435E,2026/5/15,Joshin,"¥46,340 ",ラジコン,Tamiya 1/10 Electric RC Car Series No.583 Egress (2013) Off-road 58583 [New] [Authentic] [Shipped from Japan],,新品,,Amazon Photos,2026/03/18,2026/5/14,shopee,"₱24,199.00"
20260320_machida_ph_08,260514D9F3G67H,2026/5/15,Amazon,"¥15,480 ",ラジコン,Authentic Tamiya 1/10 Electric RC Car Series No.741 Fighter Nexgen (DT-04 Chassis) Electric Radio Control 58741,,新品,,Amazon Photos,2026/03/20,2026/5/14,shopee,"₱9,071.00"
20260423_ishida_ph_05_2,260514DFRXQKH2,,,仕入れ無,,[BANDAI]GODZIBURST Mechagodzilla (1993),,新品,,Amazon Photos,,2026/5/14,shopee,₱513.00
20260413_miyawaki_ph_01,260514DR4MJV4J,,,仕入れ無,,Yu Yu Hakusho Figure: Youko Kurama (Dark Tournament),,新品,,Amazon Photos,,2026/5/14,shopee,"₱1,436.00"
20260415_miyawaki_ph_03_12,260515DVDSF1UD,,,,フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,,新品,,Amazon Photos,2026/04/15,2026/5/15,shopee,"₱4,732.00"
20260410_miyawaki_ph_01_12,260515E2N6GBGS,,,,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,,新品,,Amazon Photos,2026/04/10,2026/5/15,shopee,"₱4,988.00"
20260507_mizushima_ph_02,260515E96RQY60,,,仕入れ無,,[Gundam Base Exclusive] MG 1/100 Gundam Base Exclusive RX-78-2 Gundam Ver.3.0 [Clear Color] Mobile Suit Gundam (Bandai Spirits),,新品,,Amazon Photos,,2026/5/15,shopee,"₱5,032.00"
20260324_machida_ph_04_2,260515EQQTTPE1,2026/5/15,Amazon,"¥15,462 ",ラジコン,Authentic Tamiya 1/10 Scale Electric RC Car Series No. 747 Mini Cooper Racing (MB-01 Chassis) Electric Radio Control 58747,,新品,,Amazon Photos,2026/03/24,2026/5/15,shopee,"₱9,236.00"
20260423_ishida_ph_05_2,260515EYKATBDS,2026/5/15,Amazon,¥710 ,ホビー,[BANDAI]GODZIBURST Mechagodzilla (1993),,新品,,Amazon Photos,2026/04/23,2026/5/15,shopee,₱513.00
20260417_miyawaki_ph_04_7,260515F4CRCEQ1,2026/5/18,メルカリ,"¥11,499 ",フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,,新品,,Amazon Photos,2026/04/17,2026/5/15,shopee,"₱8,569.00"
20260219_machida_sg_06_3,260515G1J3FXC8,2026/5/18,Amazon,"¥6,930 ",腕時計,Seiko Watch ALBA Ghibli Collaboration Model Kiki's Delivery Service,,新品,,Amazon Photos,2026/02/19,2026/5/15,shopee,SDG89.55
20260115_miyawaki_ph_02,260515FA8YRCK6,2026/5/18,yahooフリマ,"¥6,500 ",フィギュア,Final Fantasy VII (FF7) Rebirth Release Kuji Cloud Strife Prize A Figure,,新品,,Amazon Photos,2026/01/15,2026/5/15,shopee,"₱4,014.00"
20260512_miyawaki_ph_02,260515FDQKT2NV,2026/5/19,メルカリ,"¥4,580 ",フィギュア,Ichiban Kuji Kingdom The Future of Qin Prize A Shin MASTERLIZE Figure,,新品,,Amazon Photos,2026/05/12,2026/5/15,shopee,"₱3,260.00"
20260220_machida_ph_06_2,260515G500PMU0,,,,リール,Shimano (SHIMANO) Baitcasting Reel Dual Axis 20 Thoreum 2000HG,,新品,,Amazon Photos,2026/02/20,2026/5/15,shopee,"₱10,325.00"
20260410_miyawaki_ph_01_13,260516GNN159P9,,,仕入れ無,,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,,新品,,Amazon Photos,,2026/5/16,shopee,"₱4,988.00"
20260406_machida_ph_06,260516GTFA98YM,2026/5/19,Amazon,"¥9,373 ",ラジコン,Tamiya Male 1/10 Electric RC Car Series No. 645 SUBARU WRX STI NBR Challenge (TT-02 Chassis) On-Road 58645,,新品,,Amazon Photos,2026/04/06,2026/5/16,shopee,"₱7,228.00"
20260512_mizushima_ph_04,260516H8J5HYNP,2026/5/18,Amazon,"¥11,000 ",プラモデル,[Gundam Base Exclusive] MG 1/100 Gundam Epyon EW [Special Coating] Pink [Bandai Spirits],,新品,,Amazon Photos,2026/05/12,2026/5/16,shopee,"₱5,874.00"
20260515_miyawaki_ph_01,260516HB1SPHF5,2026/5/19,yahooフリマ,"¥5,800 ",フィギュア,Ichiban Kuji WIND BREAKER Original 5th Anniversary Last One Prize: Sakura Umemiya Figure,,新品,,Amazon Photos,2026/05/15,2026/5/16,shopee,"₱3,856.00"
20260417_miyawaki_ph_04_8,260516HKBXY16U,2026/5/18,メルカリ,"¥11,499 ",フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,,新品,,Amazon Photos,2026/04/17,2026/5/16,shopee,"₱8,569.00"
20260504_ishida_ph_02,260516HMD79GVC,2026/5/18,Amazon,¥878 ,ホビー,[Bandai] JAPAN GODZILLA(2023) Mount Fuji,,新品,,Amazon Photos,2026/05/04,2026/5/16,shopee,₱624.00
20260408_ishida_ph_04,260516J4XT3AQP,2026/5/18,Amazon,"¥7,576 ",フィギュア,Good Smile Arts Shanghai Nura: Rise of the Yokai Clan Rikuo Nura [Night] Nendoroid Figure,,新品,,Amazon Photos,2026/04/08,2026/5/16,shopee,"₱2,869.00"
20260422_ishida_ph_05_2,260516JCS413HF,2026/5/18,Amazon,¥710 ,ホビー,[BANDAI]GODZIBURST Godzilla(2016),,新品,,Amazon Photos,2026/04/22,2026/5/16,shopee,₱512.00
20260415_miyawaki_ph_03_13,260517JYWKVSPG,2026/5/18,yahooフリマ,"¥6,200 ",フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,,新品,,Amazon Photos,2026/04/15,2026/5/17,shopee,"₱4,732.00"
20260420_mizushima_ph_07_2,260517KE54UF7E,2026/5/18,Amazon,"¥13,300 ",プラモデル,[Gundam Base/Event Exclusive] MG 1/100 Sazabi Ver.Ka Mechanical Clear Model Kit from Mobile Suit Gundam: Char's Counterattack (Bandai Spirits),,新品,,Amazon Photos,2026/04/20,2026/5/17,shopee,"₱7,689.00"
20260512_miyawaki_ph_03,260517KQSBQWPM,2026/5/19,メルカリ,"¥4,099 ",フィギュア,Ichiban Kuji Kingdom The Future of Qin Prize B Mouten MASTERLIZE Figure,,新品,,Amazon Photos,2026/05/12,2026/5/17,shopee,"₱2,948.00"
20260511_mizushima_ph_04,260517KR68M649,2026/5/18,Amazon,"¥13,760 ",,[Gundam Base Limited Edition] RG 1/144 Hi-ν Gundam Mobile Suit Gundam Char's Counterattack [Titanium Finish] (Bandai Spirits),,新品,,Amazon Photos,2026/05/11,2026/5/17,shopee,"₱7,976.00"
20260407_machida_ph_07_3,260517M6GFC2J8,,,,フィギュア,S.H.Figuarts ONE PIECE Monkey D. Luffy -Dawn of Adventure- Approximately 145mm ABS&PVC painted movable figure [Direct From Japan],,新品,,Amazon Photos,2026/04/07,2026/5/17,shopee,"₱2,258.00"
20260420_mizushima_ph_09_3,260517MCDKDPRH,,,仕入れ無,,[Gundam Base / Event Exclusive] MG 1/100 Wing Gundam Zero EW [CROSS CONTRAST COLORS / CLEAR PURPLE] Plastic Model Kit (Bandai Spirits),,新品,,Amazon Photos,,2026/5/17,shopee,"₱6,211.00"
20260318_machida_ph_03,260517MJU4X8UE,,,,ラジコン,TAMIYA 1/10 Electric R/C Car Series No.570 Lancia Delta Integrale (TT-02 Chassis) Onroad 58570,,新品,,Amazon Photos,2026/03/18,2026/5/17,shopee,"₱5,792.00"
20260430_machida_ph_04_3,260517N2NNGYXM,2026/5/18,Amazon,"¥9,900 ",ホビー,[Direct From Japan] Barbie Basic You Create Kit 3 YOU CREATE BARBIE BASICS™ Neutral Kit 003 Signature BLACK Dress-up dolls & houses Pretend play Barbie dolls Ages 6+ JJX37,,新品,,Amazon Photos,2026/04/30,2026/5/17,shopee,"₱4,317.00"
20260409_machida_ph_01_4,260518NAR3TUKD,2026/5/18,楽天市場（家電のSAKURA）,"¥11,300 ",ラジコン,[Direct From Japan] 1/12 Scale Electric RC Assembly Kit: Midnight Pumpkin Metallic Special 58365,,新品,,Amazon Photos,2026/04/09,2026/5/18,shopee,"₱6,694.00"
20260410_mizushima_ph_06,260518P4BAEMMC,,,仕入れ無,,[Tamiya] 1/10 Electric RC Car Series No. 694 1/10 RC Toyota GR 86 TT-02 Chassis Electric Radio Control 58694,,新品,,Amazon Photos,,2026/5/18,shopee,"₱7,369.00"
20260417_miyawaki_ph_04_9,260518PEA6S6BW,2026/5/19,yahooフリマ,"¥11,500 ",フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,,新品,,Amazon Photos,2026/04/17,2026/5/18,shopee,"₱8,569.00"
20260430_machida_ph_16,260518PUQ33BUV,2026/5/19,Amazon,"¥8,879 ",ホビー,[Direct From Japan] Barbie Lunar New Year 2026 Signature BLACK Dress-up Doll & House Pretend Play Barbie Dolls Ages 6+ Red JJX83,,新品,,Amazon Photos,2026/04/30,2026/5/18,shopee,"₱3,733.00"
20260430_machida_ph_14,260518PVGVYJBS,2026/5/19,Amazon,"¥6,160 ",ホビー,[Direct From Japan] Barbie Birthday Wishes Latina Signature Dress-up Doll & House – Pretend Play – Barbie Doll – Ages 6+ – Pink – JJX78,,新品,,Amazon Photos,2026/04/30,2026/5/18,shopee,"₱2,773.00"
20260323_machida_ph_01_3,260518QHD63G7R,2026/5/19,Amazon,"¥13,130 ",ラジコン,Tamiya 1/10 Electric RC Car Series No.662 Comical Grasshopper (WR-02CB Chassis) Off-Road 58662 【Direct from Japan】,,新品,,Amazon Photos,2026/03/23,2026/5/18,shopee,"₱7,816.00"
20260318_machida_ph_02,260518QPVHHS37,2026/5/19,Amazon,"¥29,733 ",ラジコン,Tamiya 1/10 Electric RC Car Series No.719 BBX BB-01 Chassis 58719 [New] [Authentic] [Shipped from Japan],,新品,,Amazon Photos,2026/03/18,2026/5/18,shopee,"₱16,000.00"
20260512_miyawaki_ph_02_2,260519R7GKHRAT,2026/5/19,メルカリ,"¥4,600 ",フィギュア,Ichiban Kuji Kingdom The Future of Qin Prize A Shin MASTERLIZE Figure,,新品,,Amazon Photos,2026/05/12,2026/5/19,shopee,"₱3,260.00"
20260512_miyawaki_ph_03_2,260519R7W23XUM,2026/5/19,メルカリ,"¥4,500 ",フィギュア,Ichiban Kuji Kingdom The Future of Qin Prize B Mouten MASTERLIZE Figure,,新品,,Amazon Photos,2026/05/12,2026/5/19,shopee,"₱2,948.00"
20260224_machida_ph_07,260519S321C9HP,2026/5/19,Amazon,"¥14,080 ",掛け時計,"Seiko Wall Clock, Analog Cuckoo Clock, Triple Selection Melody, Brown Metallic, 39x39x9.6cm, RE601B",,新品,,Amazon Photos,2026/02/24,2026/5/19,shopee,"₱7,629.00"
20260429_mizushima_ph_13,260519S77VBEMA,,,仕入れ無,,[Casio] G-SHOCK Watch [Authentic Japanese Domestic Model] Tough Solar GX-56UBB-1JF Men's Black,,新品,,Amazon Photos,,2026/5/19,shopee,"₱9,800.00"
20260430_machida_ph_04_4,260519SA7U6N7W,2026/5/20,Amazon,"¥9,900 ",ホビー,[Direct From Japan] Barbie Basic You Create Kit 3 YOU CREATE BARBIE BASICS™ Neutral Kit 003 Signature BLACK Dress-up dolls & houses Pretend play Barbie dolls Ages 6+ JJX37,,新品,,Amazon Photos,2026/04/30,2026/5/19,shopee,"₱4,317.00"
20260123_machida_ph_04_6,260519SB20FQPH,2026/5/19,yahooショッピング,"¥13,904 ",ラジコン,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,,新品,,Amazon Photos,2026/01/23,2026/5/19,shopee,"₱7,234.00"
20260318_machida_ph_04_2,260519SGG8K87J,,,仕入れ無,,Tamiya 1/10 Electric RC Car Series No.583 Egress (2013) Off-road 58583 [New] [Authentic] [Shipped from Japan],,新品,,Amazon Photos,,2026/5/19,shopee,"₱25,819.00"
20260428_miyawaki_ph_01_6,260519SV7ECUP4,2026/5/20,メルカリ,"¥10,000 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Kazuma Kuwabara MASTERLIZE Prize B Figure,,新品,,Amazon Photos,2026/04/28,2026/5/19,shopee,"₱6,433.00"
20260410_miyawaki_ph_01_13,260519SV8768G7,2026/5/20,メルカリ,"¥7,222 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,,新品,,Amazon Photos,2026/04/10,2026/5/19,shopee,"₱4,988.00"
20260417_miyawaki_ph_04_10,260519T4E621YG,2026/5/20,yahooフリマ,"¥11,200 ",フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,,新品,,Amazon Photos,2026/04/17,2026/5/19,shopee,"₱8,673.00"
20260430_machida_ph_14_2,260520TG8KRM16,,,仕入れ無,,[Direct From Japan] Barbie Birthday Wishes Latina Signature Dress-up Doll & House – Pretend Play – Barbie Doll – Ages 6+ – Pink – JJX78,,新品,,Amazon Photos,,2026/5/20,shopee,"₱2,773.00"
20260422_ishida_ph_04_2,260520UR2P95YM,,,,,[BANDAI]GODZIBURST Godzilla(1991),,新品,,Amazon Photos,2026/04/22,2026/5/20,shopee,₱506.00
20260417_miyawaki_ph_04_11,260520UT191987,2026/5/21,メルカリ,"¥11,999 ",,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,,新品,,Amazon Photos,2026/04/17,2026/5/20,shopee,"₱8,673.00"
20260420_mizushima_ph_09_3,260520UWXTTRX7,,,仕入れ無,,[Gundam Base / Event Exclusive] MG 1/100 Wing Gundam Zero EW [CROSS CONTRAST COLORS / CLEAR PURPLE] Plastic Model Kit (Bandai Spirits),,新品,,Amazon Photos,2026/04/20,2026/5/20,shopee,"₱6,211.00"
20260312_machida_ph_02_2,260520V6PKYS0N,2026/5/21,Amazon,"¥7,920 ",,RG 1/144 Blast Impulse Gundam SpecII,,新品,,Amazon Photos,2026/03/12,2026/5/20,shopee,"₱4,090.00"
20260515_ishida_ph_03,260521VY7VATCK,2026/5/21,Amazon,"¥11,500 ",,[JBL] CHARGE Essential 2 Wireless Speaker Bluetooth Portable Power Bank Function Passive Radiator IPX7 Waterproof 40W Bass JBLCHARGEES2,,新品,,Amazon Photos,2026/05/15,2026/5/21,shopee,"₱9,495.00"
20260402_miyawaki_ph_01_6,2605210TM4NATX,,,仕入れ無,,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Hiei MASTERLIZE Prize C Figure,,新品,,Amazon Photos,,2026/5/21,shopee,"₱2,480.00"
20260512_miyawaki_ph_02_3,26052111ATWR4S,2026/5/21,メルカリ,"¥4,600 ",,Ichiban Kuji Kingdom The Future of Qin Prize A Shin MASTERLIZE Figure,,新品,,Amazon Photos,2026/05/12,2026/5/21,shopee,"₱3,627.00"
20260316_machida_ph_02_2,260521173JRTJE,2026/5/22,Amazon,"¥12,800 ",,Bandai MG 1/100 Gundam Epyon EW Sturm und Drang Unit Model Kit Gundam W Endless Waltz Gunpla Japan,,新品,,Amazon Photos,2026/03/16,2026/5/21,shopee,"₱6,302.00"
20260417_miyawaki_ph_04_12,26052119TAVP8S,2026/5/22,メルカリ,"¥12,000 ",,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,,新品,,Amazon Photos,2026/04/17,2026/5/21,shopee,"₱8,673.00"
20260512_mizushima_ph_02,2605211KXF16QE,2026/5/22,Amazon,"¥5,970 ",,[Gundam Base Exclusive] HG 1/144 G-Self (Perfect Pack Equipped) (Gundam Reconguista in G Movie Version) [Bandai Spirits],,新品,,Amazon Photos,2026/05/12,2026/5/21,shopee,"₱2,373.00"
20260501_ishida_ph_05,26052122FF8X3T,2026/5/22,Amazon,"¥2,055 ",,[BANDAI] Movie Monster Series: Godzilla (2016) Awakening Ver.,,新品,,Amazon Photos,2026/05/01,2026/5/21,shopee,"₱1,221.00"
20260415_miyawaki_ph_03_14,26052128WHUBD3,2026/5/22,メルカリ,"¥5,888 ",,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,,新品,,Amazon Photos,2026/04/15,2026/5/21,shopee,"₱4,732.00"
20260430_machida_ph_03_3,2605222BGC6B11,2026/5/22,Amazon,"¥9,405 ",,[Direct From Japan] Barbie Basic You Create Kit 2 YOU CREATE BARBIE BASICS™ Neutral Kit 002 Signature BLACK Dress-up dolls & houses Pretend play Barbie dolls Ages 6+ JJX36,,新品,,Amazon Photos,2026/04/30,2026/5/22,shopee,"₱4,312.00"
20260430_machida_ph_04_5,2605222FXTNHXX,2026/5/22,Amazon,"¥9,405 ",,[Direct From Japan] Barbie Basic You Create Kit 3 YOU CREATE BARBIE BASICS™ Neutral Kit 003 Signature BLACK Dress-up dolls & houses Pretend play Barbie dolls Ages 6+ JJX37,,新品,,Amazon Photos,2026/04/30,2026/5/22,shopee,"₱4,317.00"
20260323_machida_ph_05,260522378XWFQG,2026/5/22,Amazon,"¥21,781 ",,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 695 1/10 RC Racing Buggy Wild One Off-Roader BLOCKHEAD MOTORS 58695,,新品,,Amazon Photos,2026/03/23,2026/5/22,shopee,"₱12,637.00"
20260417_miyawaki_ph_04_13,2605223BS1W4FQ,2026/5/22,yahooフリマ,"¥10,350 ",,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,,新品,,Amazon Photos,2026/04/17,2026/5/22,shopee,"₱8,673.00"
20260417_miyawaki_ph_04_14,26052245DS64UJ,2026/5/25,メルカリ,"¥11,800 ",,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,,新品,,Amazon Photos,2026/04/17,2026/5/22,shopee,"₱8,673.00"
20260512_mizushima_ph_02_2,2605224HWU95T8,2026/5/25,Amazon,"¥3,120 ",,[Gundam Base Exclusive] HG 1/144 G-Self (Perfect Pack Equipped) (Gundam Reconguista in G Movie Version) [Bandai Spirits],,新品,,Amazon Photos,2026/05/12,2026/5/22,shopee,"₱2,213.00"
20260501_mizushima_ph_07,26052353YN4QMU,2026/5/25,Amazon,"¥12,480 ",,[Gundam Base / Event Exclusive] MG 1/100 Gundam Deathscythe Hell EW [Special Coating] (Bandai Spirits),,新品,,Amazon Photos,2026/05/01,2026/5/23,shopee,"₱7,375.00"
20260511_mizushima_ph_04_2,2605235KB7YPVM,,,仕入れ無,,[Gundam Base Limited Edition] RG 1/144 Hi-ν Gundam Mobile Suit Gundam Char's Counterattack [Titanium Finish] (Bandai Spirits),,新品,,Amazon Photos,2026/05/11,2026/5/23,shopee,"₱7,827.00"
20260429_machida_ph_02,26052362N4FNH6,2026/5/25,Joshin,"¥10,450 ",,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 634 NSX (TT-02 Chassis) On-Road 58634,,新品,,Amazon Photos,2026/04/29,2026/5/23,shopee,"₱7,117.00"
20260511_mizushima_ph_04_2,2605236687GP6Q,2026/5/25,Amazon,"¥13,365 ",,[Gundam Base Limited Edition] RG 1/144 Hi-ν Gundam Mobile Suit Gundam Char's Counterattack [Titanium Finish] (Bandai Spirits),,新品,,Amazon Photos,2026/05/11,2026/5/23,shopee,"₱7,827.00"
20260302_machida_ph_02_2,260523671BG3C3,2026/5/25,Amazon,"¥4,681 ",,Jurassic World Hammond Collection Stegosaurus Action Figure Dinosaur Toy,,新品,,Amazon Photos,2026/03/02,2026/5/23,shopee,"₱2,908.00"
20260324_machida_ph_04_3,2605236S5MGA11,2026/5/25,Joshin（A）,"¥16,480 ",,Authentic Tamiya 1/10 Scale Electric RC Car Series No. 747 Mini Cooper Racing (MB-01 Chassis) Electric Radio Control 58747,,新品,,Amazon Photos,2026/03/24,2026/5/23,shopee,"₱9,334.00"
20260430_machida_ph_14_2,2605248590MAS6,2026/5/25,Amazon,"¥5,852 ",,[Direct From Japan] Barbie Birthday Wishes Latina Signature Dress-up Doll & House – Pretend Play – Barbie Doll – Ages 6+ – Pink – JJX78,,新品,,Amazon Photos,2026/04/30,2026/5/24,shopee,"₱2,773.00"
20260413_machida_ph_01_3,2605249B54F4FC,2026/5/25,洛西モデル,"¥12,848 ",,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 546 1/12 Lunchbox Black Edition 58546,,新品,,Amazon Photos,2026/04/13,2026/5/24,shopee,"₱6,794.00"
20260219_machida_sg_02,2605249MNBHU7Q,2026/5/25,Amazon,"¥13,574 ",,RANGS Japan Rip Surf Skateboard,,新品,,Amazon Photos,2026/02/19,2026/5/24,shopee,SDG141.95
20260220_machida_ph_06_2,2605249PBGDCJA,2026/5/25,Amazon,"¥21,324 ",,Shimano (SHIMANO) Baitcasting Reel Dual Axis 20 Thoreum 2000HG,,新品,,Amazon Photos,2026/02/20,2026/5/24,shopee,"₱10,325.00"
20260522_miyawaki_ph_02,260525AUXEHDYB,2026/5/26,yahooフリマ,"¥5,937 ",,Ichiban Kuji BLEACH Stirring Souls vol.4 Prize A: Toshiro Hitsugaya MASTERLISE Figure,,新品,,Amazon Photos,2026/05/22,2026/5/25,shopee,"₱5,418.00"
