,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
自動,,,,,手動,自動,手動,手動,手動,手動,手動,自動,shopee,自動
SKU,Order no.,仕入れ日,仕入れ先,仕入れ金額（送料込）,品目,商品名,付属品,状態,備考,写真,出品日,販売日,販売先,販売金額
20260302_ishida_ph_02_2,260331J14TP6JR,2026/3/31,Amazon,"¥7,980 ",ラジコン,S.H.Figuarts Funeral of Freiren Freiren (Resale Version) Approximately 140mm PVC & ABS Painted Movable Figure TAMASHII NATIONS,,新品,,Amazon Photos,2026/03/06,2026/3/31,shopee,"₱3,923.00"
20260316_miyawaki_ph_01,260331JC12CG04,2026/3/31,メルカリ,"¥8,222 ",フィギュア,Ichiban Kuji Demon Slayer Doma Prize B Figure,,新品,,Amazon Photos,2026/03/02,2026/3/31,shopee,"₱4,720.00"
20260226_machida_ph_03_2,260401MDKP5QGC,2026/4/1,Amazon,"¥10,999 ",ラジコン,Authentic BANDAI SPIRITS RG 1/144 Unicorn Gundam Perfectibility Plastic Model Bandai,,新品,,Amazon Photos,2026/03/20,2026/4/1,shopee,"₱5,413.00"
20260324_machida_ph_04,260401NJM9S1AH,2026/4/2,Amazon,"¥15,642 ",ラジコン,Authentic Tamiya 1/10 Scale Electric RC Car Series No. 747 Mini Cooper Racing (MB-01 Chassis) Electric Radio Control 58747,,新品,,Amazon Photos,2026/03/20,2026/4/1,shopee,"₱9,236.00"
20260318_machida_ph_01,260401NK34RY47,2026/4/2,Joshin,"¥11,000 ",ラジコン,Tamiya 1/10 Electric RC Car Series No.571 Porsche 911 Carrera RSR (TT-02 Chassis) On-Road 58571 [New] [Authentic] [Shipped from Japan],,新品,,Amazon Photos,2026/03/18,2026/4/1,shopee,"₱6,441.00"
20260306_machida_ph_04,260401NKSGYVTM,2026/4/2,楽天市場（家電のSAKURA）,"¥29,000 ",ラジコン,Tamiya RC Special Product 1/10 Electric RC Car Super Astute 2018 Off-Road 47381,,新品,,Amazon Photos,2026/03/25,2026/4/1,shopee,"₱13,167.00"
20260302_ishida_ph_04,260403RQPVV3FD,2026/4/7,ヤマダ電機(柏テックランド現地購入),"¥7,480 ",フィギュア,TAMASHII NATIONS S.H.Figuarts NARUTO Shippuden Shikamaru Nara -The Brain That Sees Ahead-Approximately 145mm PVC & ABS,,新品,,Amazon Photos,2026/01/19,2026/4/3,shopee,"₱2,151.00"
20260320_machida_ph_07,2604052B23BH7X,2026/4/6,Joshin,"¥7,180 ",プラモデル,Authentic TAMIYA 1/10 Electric RC Car Series No.470 Holiday Buggy 2010 Off-Road 58470,,新品,,Amazon Photos,2026/03/12,2026/4/5,shopee,"₱4,825.00"
20260323_machida_ph_02,2604077R1A70UN,,,仕入れ無,フィギュア,Authentic Tamiya 1/14 Electric RC Car Series No.672 Monster Beetle Trail (GF-01TR Chassis) 58672,,新品,,Amazon Photos,2026/03/16,2026/4/7,shopee,"₱9,961.00"
20260320_machida_ph_04,2604077TYQFGV7,2026/4/8,yahooショッピング,"¥14,850 ",ラジコン,Authentic Tamiya 1/10 Electric RC Car Series No.739 1998 Honda NSX Racing (TT-02 Chassis) 58739,,新品,,Amazon Photos,2026/03/25,2026/4/7,shopee,"₱8,495.00"
20260318_machida_ph_01_2,260408840ENWE1,2026/4/8,Joshin,"¥11,000 ",ラジコン,Tamiya 1/10 Electric RC Car Series No.571 Porsche 911 Carrera RSR (TT-02 Chassis) On-Road 58571 [New] [Authentic] [Shipped from Japan],,新品,,Amazon Photos,2026/03/18,2026/4/8,shopee,"₱6,441.00"
20260325_machida_ph_01_3,2604088V6YP9SB,2026/4/8,楽天市場（Toy&ZAKKA mimiy）,"¥10,756 ",ラジコン,Tamiya 1/12 Electric RC Car Series No. 347 Lunch Box 2005 58347 - High-Performance Remote Control Car[Direct from Japan],,新品,,Amazon Photos,2026/03/25,2026/4/8,shopee,"₱5,610.00"
20260119_miyawaki_ph_07_2,260408921Y2RAH,2026/4/8,らしんばん,"¥6,690 ",フィギュア,Ichiban Kuji YuYu Hakusho Dark Tournament vol.2 Karasu MASTERLISE Prize B Anime Figure,,新品,,Amazon Photos,2026/01/19,2026/4/8,shopee,"₱4,228.00"
