,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,仕入れ表,仕入れ元データ,仕入れ表,,ペイメント,仕入れ表,仕入れ表,,,ペイメント,手動,,,売れた日の為替,,,仕入れ元データ,,,,,,手動,
同梱,カスタムラベル(SKU),"eBay Oder No,",仕入れ日,販売日,出金日,商品名,仕入れ金額(送料込み),販売金額,販売金額（￥）,Total fees,広告費(PL),ebay手数料,Payout金額,販売時の為替,出金時の為替（ペイオニア手数料含む）,受取金額,海外送料,手数料消費税還付,消費税還付,最終損益,利益率,売れるまでの日数,送り状番号,備考
,20260119_inoue_01_2,06-14327-90712,2026/2/12,2026/3/5,#N/A,Shimano 21 SOARE XR C2000SSPG Spinning Reel JP,"¥19,400 ",£216.69,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,"¥2,892 ",#N/A,"¥1,764",#N/A,#N/A,45,889349951880,
,K20250421_watanabe_01,02-14362-64662,2026/3/12,2026/3/12,#N/A,NEW Japan national football team 100th anniversary uniform limited jersey US(S),"¥10,000 ",$128.00 ,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,"¥5,025 ",#N/A,¥909,#N/A,#N/A,325,EX1013089153786DL06020002B0N,
,20250221_inoue_06,12-14359-96160,2026/3/16,2026/3/14,#N/A,Nendoroid Hatsune Miku 2.0 Action Figure #300 Character Vocal Series 01 GSC,"¥6,800 ",AU$130.65,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,"¥2,682 ",#N/A,¥618,#N/A,#N/A,386,1Z70E26W6795094839,
,20260210_mizushima_04,02-14382-92536,2026/3/16,2026/3/16,#N/A,Fujifilm XF1 Black 12MP 4x Zoom Digital Camera w/Accessories TESTED,"¥31,700 ",$300.00 ,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,"¥8,304 ",#N/A,"¥2,882",#N/A,#N/A,34,EM1013089243502FE06010028A0N,
,20251203_mogi_07,26-14363-37387,2026/3/20,2026/3/19,#N/A,Pokémon Vulpix Halloween 2022 Plush Mascot Tagged Collectible,"¥3,500 ",$74.40 ,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,"¥3,495 ",#N/A,¥318,#N/A,#N/A,106,EX1013089753203DL06020002A0N,
,20240729_matsumoto_01_3,09-14391-44320,2026/2/12,2026/3/20,#N/A,S.H.MonsterArts Godzilla 2016 4th Form Night Combat Ver Shin Godzilla,"¥28,999 ",€175.00,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,"¥7,474 ",#N/A,"¥2,636",#N/A,#N/A,599,EX1013089751819DL06020002C0N,
,20260320_mizushima_02,26-14379-07403,2026/3/24,2026/3/23,#N/A,【Exc+5】Canon IXY Digital 600 / IXUS 700 Digital Camera w/Charger English TESTED,"¥18,000 ",$224.86 ,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,"¥1,450 ",#N/A,"¥1,636",#N/A,#N/A,3,EN509701715JP,
,20260324_mizushima_04,01-14443-02306,2026/3/30,2026/3/29,#N/A,Exc+5 Canon PowerShot S200 Black 10.1MP 5x Digital Camera Charger English TESTED,"¥24,000 ",$256.22 ,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,"¥2,182",#N/A,#N/A,46110,,
,,,,,#N/A,,,,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,¥0,#N/A,#N/A,0,,
,,,,,#N/A,,,,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,¥0,#N/A,#N/A,0,,
,,,,,#N/A,,,,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,¥0,#N/A,#N/A,0,,
,,,,,#N/A,,,,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,¥0,#N/A,#N/A,0,,
,,,,,#N/A,,,,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,¥0,#N/A,#N/A,0,,
,,,,,#N/A,,,,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,¥0,#N/A,#N/A,0,,
,,,,,#N/A,,,,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,¥0,#N/A,#N/A,0,,
,,,,,#N/A,,,,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,¥0,#N/A,#N/A,0,,
,,,,,#N/A,,,,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,¥0,#N/A,#N/A,0,,
,,,,,#N/A,,,,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,¥0,#N/A,#N/A,0,,
,,,,,#N/A,,,,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,¥0,#N/A,#N/A,0,,
,,,,,#N/A,,,,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,¥0,#N/A,#N/A,0,,
,,,,,#N/A,,,,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,¥0,#N/A,#N/A,0,,
,,,,,#N/A,,,,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,¥0,#N/A,#N/A,0,,
,,,,,#N/A,,,,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,¥0,#N/A,#N/A,0,,
,,,,,#N/A,,,,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,¥0,#N/A,#N/A,0,,
,,,,,#N/A,,,,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,¥0,#N/A,#N/A,0,,
,,,,,#N/A,,,,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,¥0,#N/A,#N/A,0,,
,,,,,#N/A,,,,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,¥0,#N/A,#N/A,0,,
,,,,,#N/A,,,,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,¥0,#N/A,#N/A,0,,
,,,,,#N/A,,,,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,¥0,#N/A,#N/A,0,,
,,,,,#N/A,,,,#REF!,#N/A,$0.00,#N/A,#N/A,#REF!,#N/A,#N/A,,#N/A,¥0,#N/A,#N/A,0,,
